,,,,,,,,,,,,, Cases ,,,,,,,,,,,,
,,,,,,,,,,,,," 466,447 "," 348,258 "," 450,425 "," 471,999 "," 405,982 "," 576,109 "," 388,876 "," 425,828 "," 324,297 "," 549,971 "," 450,617 "," 387,248 "," 5,246,057 "
Lerma,69664935,,Sabor,Small Granulated,Mateer 1,15.9oz, US Retail  , US Retail ,KNR MEX BOUIL BEEF 12 15.9z,,0.0054091,0.0%," 2,842 "," 4,307 "," 3,332 "," 2,545 ",," 3,937 ",,, -   ,,,," 16,963 "
Indy,64784931,,Sabor,Small Granulated,15,15.9oz, US Retail  , US Retail ,KNR MEX BOUIL BEEF 12 15.9z,,0.0054091,0.0%,,,,," 6,408 ", 181 ,,," 11,305 "," 3,323 ",," 8,230 "," 29,447 "
Lerma,67552959,,Sabor,Small Granulated,Mateer 1,7.9oz, US Retail  , US Retail ,KNR Gran Bouillon Shrimp  12 7.9oz,,0.0026876,9.5%," 5,980 "," 4,342 "," 6,452 "," 4,080 "," 3,019 "," 8,608 "," 3,791 "," 4,617 "," 4,213 "," 4,880 "," 5,200 "," 5,742 "," 60,923 "
Lerma,67841924,,Sabor,Small Granulated,Mateer 1,3.5oz, US Retail  , US Retail ,KNORR MEX BOUIL CHK 24/3.5 OZ,,0.0023814,5.0%," 9,854 "," 8,059 "," 7,969 "," 9,854 "," 7,725 "," 10,429 "," 8,058 "," 9,933 "," 9,294 "," 12,275 "," 9,355 "," 8,942 "," 111,747 "
Lerma,67212717,,Sabor,Small Granulated,Mateer 1,3.5oz, US Retail  , US Retail ,KN MEX BOUIL TOM/CHK24/3.5 OZ,,0.0023814,5.0%," 6,120 "," 5,204 "," 6,053 "," 5,539 "," 5,384 "," 6,650 "," 4,854 "," 6,499 "," 5,745 "," 8,080 "," 6,305 "," 5,536 "," 71,969 "
Lerma,67821459,,Sabor,Small Granulated,Mateer 1,7.9oz, US Retail  , US Retail ,KNORR MEX BOUIL CHK 12/7.9 OZ,,0.0026876,9.5%," 83,741 "," 67,525 "," 73,060 "," 68,409 "," 62,497 "," 88,227 "," 58,390 "," 72,120 "," 75,211 "," 93,470 "," 88,458 "," 87,923 "," 919,031 "
Lerma,67212715,,Sabor,Small Granulated,Mateer 1,7.9oz, US Retail  , US Retail ,KN MEX BOUIL TOM/CHK12/7.9 OZ,,0.0026876,9.5%," 39,441 "," 33,021 "," 36,223 "," 38,482 "," 26,075 "," 48,479 "," 29,936 "," 41,862 "," 41,907 "," 39,541 "," 36,618 "," 35,119 "," 446,705 "
Lerma,67212718,,Sabor,Small Granulated,Mateer 1,7.9oz, US Retail  , US Retail ,KNORR MEX BOUIL BEEF12/7.9 OZ,,0.0026876,9.5%," 31,296 "," 23,552 "," 17,171 "," 26,861 "," 24,271 "," 34,708 "," 15,341 "," 20,831 "," 21,631 "," 30,948 "," 28,316 "," 28,222 "," 303,148 "
Indy,64784933,,Sabor,Small Granulated,15,15.9oz, US Retail  , US Retail ,KNR MEX BOUIL CHK 12/15.9 OZ,,0.0054091,0.0%,,,,1091,13965," 44,843 "," 12,514 "," 35,341 "," 24,991 "," 52,939 "," 7,302 "," 31,223 "," 224,209 "
Lerma,69559816,,Sabor,Small Granulated,Mateer 1,15.9oz, US Retail  , US Retail ,KNR MEX BOUIL CHK 12/15.9 OZ,,0.0054091,0.0%," 53,018 "," 17,280 "," 38,822 "," 59,489 ",," 20,826 "," 11,337 ",,," 12,717 "," 5,000 ",," 218,489 "
Lerma,64316829,,Sabor,Small Granulated,Mateer 1,15.9oz, US Retail  , US Retail ,KNORR BOUIL TOM/CHK 12/15.9 OZ,,0.0054091,0.0%," 2,058 ",," 9,717 "," 27,648 ", 166 ," 6,829 ",,,," 2,207 ",,," 48,625 "
Indy,64784932,,Sabor,Small Granulated,15,15.9oz, US Retail  , US Retail ,KNORR BOUIL TOM/CHK 12/15.9 OZ,,0.0054091,0.0%,,,,,9310, 98 ," 19,166 ", (98),," 10,465 ",," 15,501 "," 54,442 "
Batavia,68821625,,Granulated Bases/Bouillon,Small Granulated - Natural ,13,0, CDA Retail  , CDA Retail ,KNR Bouillon CHKN Zero Salt 12p 160g,,0.0019196,2.3%, 555 , 293 , 965 , 520 , 286 , 761 , 571 , 425 , 506 , 355 , 362 , 292 ," 5,891 "
Batavia,68821626,,Granulated Bases/Bouillon,Small Granulated - Natural ,13,0, CDA Retail  , CDA Retail ,KNR Bouillon Beef Zero Salt 12p 160g,,0.0019196,2.3%, 204 , 296 , 638 , 225 , 132 , 421 , 276 , 591 , 198 , 101 , 110 , 128 ," 3,319 "
