row,sourcing_unit,du,brand,sub_category,technology_detailed,line,size,country,sales_org_opco,product_du,pouches_cs,tonnes_cs,growth_2025,total_cases_2025,total_tonnes_2025
32,Indy,64784932,,Sabor,Small Granulated,15,15.9oz,US Retail,US Retail,KNORR BOUIL TOM/CHK 12/15.9 OZ,,0.005409144516011976,0.0,54442.0,294.485
33,Batavia,68821625,,Granulated Bases/Bouillon,Small Granulated - Natural ,13,0,CDA Retail,CDA Retail,KNR Bouillon CHKN Zero Salt 12p 160g,,0.0019196226072756965,0.022581215720991032,5890.982347394143,11.308
34,Batavia,68821626,,Granulated Bases/Bouillon,Small Granulated - Natural ,13,0,CDA Retail,CDA Retail,KNR Bouillon Beef Zero Salt 12p 160g,,0.0019196226072756965,0.022581215720991032,3319.265564990924,6.372
35,Batavia,68821627,,Granulated Bases/Bouillon,Small Granulated - Natural ,13,0,CDA Retail,CDA Retail,KNR BOUIL Roast GAR Zero Salt 12p 160g,,0.0019196226072756965,0.022581215720991032,2335.074047522741,4.482
36,Batavia,64810586,,Granulated Bases/Bouillon,Knorr Caldo 25lb,0,4.4lb,UFS,UFS,Knorr Caldo DE Pollo 216p 2kg PAL,,0.008800000000000002,0.02,12.0,0.106
37,Batavia,62681584,,Granulated Bases/Bouillon,Knorr Caldo,13,0,UFS,UFS,Knorr Caldo De Pollo 1p 25lb,,0.011339925610087998,0.02,71384.0,809.489
38,Batavia,62696764,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,Knorr PROF Caldo de Vegetales 4p 4.4lb,,0.00798330762950195,0.02,4378.0,34.951
39,Batavia,62696766,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,KNR PROF Caldo DE VEG CCC 4p 4.4lb,,0.00798330762950195,0.02,5372.0,42.886
40,Lerma,64351218,,Granulated Bases/Bouillon,FS Large Granulated,Mateer 2,7.9lb,UFS,UFS,Knorr PROF Caldo DE Tomate CCC 4p 7.9lb,,0.014333665971151231,0.02,3924.0,56.245
41,Batavia,68511594,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,KNR Caldo de Camaron 4 4.4lb,,0.00798330762950195,0.02,15256.0,121.793
42,Batavia,68511595,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,Knorr Caldo de Res 4p 4.4lb,,0.00798330762950195,0.02,67718.0,540.614
43,Lerma,67212772,,Granulated Bases/Bouillon,FS Large Granulated,Mateer 2,7.9lb,UFS,UFS,Knorr Caldo de Pollo 4 7.9lb Display,,0.014333665971151231,0.02,263647.59999999986,3779.037
44,Lerma,67212719,,Granulated Bases/Bouillon,FS Large Granulated,Mateer 2,7.9lb,UFS,UFS,Knorr Caldo de Pollo 4 7.9lb,,0.014333665971151231,0.02,103954.0,1490.042
45,Batavia,68374656,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,KNORR CALDO DE POLLO 4 4.4LB,,0.00798330762950195,0.02,217758.00882248412,1738.429
46,Batavia,68511599,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,KNORR CALDO DE TOMATE 4 4.4lb,,0.00798330762950195,0.02,34447.3093043122,275.003
47,Batavia,68511591,,Granulated Bases/Bouillon,Knorr Caldo 4.4,13,4.4lb,UFS,UFS,KNORR CALDO DE TOMATE 4 4.4lb,,0.00798330762950195,0.02,111671.29602123528,891.506
48,Batavia,64902462,,Granulated Bases/Bouillon,Knorr Caldo 25lb,0,25 lb,UFS,UFS,Knorr Caldo DE Tomate CON POLLO 1p 25lb,,0.0125,0.02,2315.0,28.938
49,Lerma,67153824,,Sabor,Small Granulated,Mateer 1,7.9oz,UI,UI,KNORR LAT CKN GR RDC SOD 12 7.9Z,,0.0026875623695908554,0.03,36.0,0.097
50,Indy,64784931,,Sabor,Small Granulated,15,15.9oz,UI,UI,KNR MEX BOUILLON BEEF 12 15.9Z,,0.005409144516011976,0.03,56.0,0.303
51,Lerma,69664935,,Sabor,Small Granulated,Mateer 1,15.9oz,UI,UI,KNR MEX BOUILLON BEEF 12 15.9Z,,0.005409144516011976,0.03,13.0,0.07
52,Lerma,67552959,,Sabor,Small Granulated,Mateer 1,7.9oz,UI,UI,KNR GRAN BOUILLON SHRIMP 12 7.9OZ,,0.0026875623695908554,0.03,19.0,0.051
53,Lerma,67841924,,Sabor,Small Granulated,Mateer 1,3.5oz,UI,UI,KNORR MEX BOUIL CHK 24P 3.5Z,,0.0023813843781184795,0.03,162.0,0.386
54,Lerma,67821459,,Sabor,Small Granulated,Mateer 1,7.9oz,UI,UI,KNORR MEX BOUIL CHK 12 7.9Z,,0.0026875623695908554,0.03,633.0,1.701
55,Lerma,67212715,,Sabor,Small Granulated,Mateer 1,7.9oz,UI,UI,KN MEX BOUILLON TOM/CHK 12P 7.9Z,,0.0026875623695908554,0.03,630.0,1.693
56,Lerma,67212718,,Sabor,Small Granulated,Mateer 1,7.9oz,UI,UI,KNORR MEX BOUILLON BEEF 12 7.9Z,,0.0026875623695908554,0.03,215.0,0.578
57,Lerma,69559816,,Sabor,Small Granulated,Mateer 1,15.9oz,UI,UI,KNORR MEX BOUILLON CHK 12 15.9Z,,0.005409144516011976,0.03,188.0,1.017
58,Indy,64784933,,Sabor,Small Granulated,15,15.9oz,UI,UI,KNORR MEX BOUILLON CHK 12 15.9Z,,0.005409144516011976,0.03,172.0,0.93
59,Indy,64784932,,Sabor,Small Granulated,15,15.9oz,UI,UI,KNORR BOUIL TOMATO/CHICKEN 12P 15.9Z,,0.005409144516011976,0.03,231.0,1.25
60,Lerma,64316829,,Sabor,Small Granulated,Mateer 1,15.9oz,UI,UI,KNORR BOUIL TOMATO/CHICKEN 12P 15.9Z,,0.005409144516011976,0.03,217.0,1.174
